Goblin,5,50,12,8,15
Orc,10,120,20,15,10
Troll,15,200,25,20,5
Dark Mage,12,80,30,10,12
Vampire,18,150,35,18,20
Skeleton,7,60,15,10,14
Zombie,6,70,10,12,8
Golem,20,250,40,30,4
Werewolf,17,140,32,16,22
Demon,25,300,50,25,18
Ghost,9,40,18,6,25
Witch,14,90,28,12,16
Dragon,30,500,60,40,12
Cyclops,22,280,45,22,6
Kraken,27,400,55,35,10
Minotaur,19,170,38,20,14
Banshee,11,50,20,8,24
Lich,23,320,48,28,15
Harpy,16,100,26,14,20
Centaur,13,110,22,18,17
Phoenix,21,200,42,25,30
Griffin,24,240,46,27,19
Medusa,26,360,52,30,11
Gargoyle,8,80,14,18,12
Mummy,9,85,16,14,10
Serpent,12,100,24,15,18
Hydra,28,450,58,38,8
Djinn,15,130,30,16,26
Basilisk,29,470,59,39,9
Chimera,31,520,65,42,14
Shade,10,55,22,9,28
Elemental,20,220,44,24,21
Wraith,18,120,34,14,23
Behemoth,35,600,70,50,7
Leviathan,40,800,80,60,5
Siren,17,95,28,13,27
Warlock,14,85,26,12,19
Yeti,22,250,42,20,13
Ogre,12,150,20,25,6
Satyr,9,70,18,10,16
Dryad,8,60,16,8,22
Naga,15,140,30,18,17
Giant,30,550,62,45,9
Dullahan,25,330,50,28,15
Necromancer,20,190,38,22,14
Slime,5,40,10,5,12
Kobold,4,30,8,4,18
Fairy,3,20,6,3,30
Pixie,2,15,5,2,32
Gremlin,6,50,12,7,19
Ghoul,11,75,22,11,17
Specter,19,140,34,16,25
Phantom,16,110,26,14,23
Doppelganger,14,90,28,15,20
Shapeshifter,18,160,36,20,18
Imp,5,40,12,6,21
Sprite,4,25,7,3,28
Rakshasa,27,370,55,30,12
Jotunn,32,580,68,48,8
Ifrit,26,350,53,30,15
Gorgon,28,410,57,35,10
Manticore,30,500,64,40,11
Wyvern,24,260,48,26,22
Anubis,35,620,72,52,14
Fenrir,33,590,70,50,20
Cerberus,38,750,78,55,16
Chupacabra,13,90,24,12,21
Wendigo,29,460,60,38,12
Krampus,31,530,66,42,15
Yokai,25,340,52,30,18
Kitsune,21,210,42,24,24
Tengu,20,200,40,22,23
Oni,28,420,58,36,9
Kappa,10,100,20,15,14
Gashadokuro,37,700,76,54,7
Nurarihyon,22,260,44,26,22
Shoggoth,39,780,79,58,6
Deep One,23,280,46,28,21
Eldritch Horror,50,1000,90,70,5
